no,date,type,location,category,deaths,injuries
1,NA,墜落、滾落,平溪區,批發及零售業,1,0
2,NA,溺斃,萬里區,農、林、漁、牧業,1,0
3,NA,墜落、滾落,板橋區,營造業,1,0
4,NA,墜落、滾落,中和區,製造業,1,0
5,NA,跌倒,五股區,製造業,1,0
6,NA,溺斃,八里區,運輸及倉儲業,1,0
7,NA,被夾、被捲,新店區,運輸及倉儲業,1,0
8,NA,墜落、滾落,三重區,營造業,1,0
9,NA,墜落、滾落,蘆洲區,製造業,1,1
10,NA,爆炸,板橋區,營造業,0,3
11,NA,物體倒塌、崩塌,土城區,營造業,1,0
12,NA,墜落、滾落,汐止區,營造業,1,0
13,NA,被撞,鶯歌區,營造業,1,1
14,NA,感電,板橋區,電力及燃氣供應業,1,0
15,NA,感電,土城區,營造業,1,0
16,NA,感電,中和區,營造業,1,0
17,NA,墜落、滾落,板橋區,製造業,1,0
18,NA,墜落、滾落,新莊區,營造業,1,0
19,NA,墜落、滾落,三峽區,支援服務業,1,0
20,NA,感電,新莊區,營造業,1,0
21,NA,墜落、滾落,林口區,營造業,1,0
22,NA,墜落、滾落,新莊區,營造業,1,0
23,NA,物體飛落,八里區,製造業,1,0
24,NA,墜落、滾落,蘆洲區,營造業,1,0
25,NA,墜落、滾落,林口區,營造業,1,0
26,NA,物體飛落,土城區,營造業,1,0
27,NA,跌倒,中和區,支援服務業,1,0
28,NA,物體倒塌、崩塌,樹林區,營造業,1,0
29,NA,物體倒塌、崩塌,蘆洲區,營造業,1,0
30,NA,感電,淡水區,營造業,1,0
31,NA,溺斃,貢寮區,批發及零售業,1,0
32,NA,物體飛落,新店區,製造業,1,0
33,NA,物體倒塌、崩塌,中和區,運輸及倉儲業,1,0
34,NA,物體飛落,新莊區,製造業,1,0
35,NA,墜落、滾落,瑞芳區,批發及零售業,1,0
36,NA,跌倒,中和區,支援服務業,1,0
37,NA,溺斃,八里區,營造業,3,4
38,NA,墜落、滾落,新莊區,營造業,1,0
39,NA,感電,林口區,營造業,1,1
40,NA,衝撞,林口區,營造業,1,0
41,NA,墜落、滾落,新莊區,批發及零售業,1,0
42,NA,墜落、滾落,新莊區,營造業,1,0
43,NA,溺斃,八里區,運輸及倉儲業,2,0
44,NA,被夾、被捲,鶯歌區,製造業,1,0
45,NA,墜落、滾落,淡水區,營造業,1,0
46,NA,被夾、被捲,樹林區,批發及零售業,1,0
47,NA,感電,石門區,資訊及通訊傳播業,1,0
48,NA,墜落、滾落,淡水區,營造業,1,0
49,NA,墜落、滾落,八里區,營造業,1,0
50,NA,墜落、滾落,中和區,營造業,1,0
51,NA,墜落、滾落,林口區,營造業,1,0
52,NA,墜落、滾落,汐止區,營造業,1,0
53,NA,火災,五股區,批發及零售業,1,0
54,NA,物體倒塌、崩塌,三峽區,批發及零售業,1,0
55,NA,墜落、滾落,三重區,營造業,1,0
56,NA,與有害物等之接觸,樹林區,製造業,1,0
57,NA,墜落、滾落,永和區,營造業,1,0
58,NA,物體倒塌、崩塌,汐止區,製造業,1,0
59,NA,墜落、滾落,樹林區,專業、科學及技術服務業,1,0
60,NA,物體倒塌、崩塌,淡水區,營造業,1,0
61,NA,物體飛落,三重區,營造業,1,0
62,NA,墜落、滾落,新店區,營造業,1,0
63,NA,物體倒塌、崩塌,汐止區,營造業,1,0
64,NA,墜落、滾落,板橋區,營造業,1,0
65,NA,墜落、滾落,淡水區,營造業,1,0
66,NA,感電,坪林區,其他服務業,1,0
67,NA,墜落、滾落,三峽區,製造業,1,0
68,NA,墜落、滾落,三重區,製造業,1,0
69,NA,被夾、被捲,土城區,製造業,1,0
70,NA,墜落、滾落,新莊區,營造業,1,0
71,NA,墜落、滾落,三重區,營造業,1,0
72,NA,物體飛落,樹林區,製造業,1,0
73,NA,墜落、滾落,三重區,營造業,1,0
74,NA,溺斃,八里區,營造業,1,0
75,NA,跌倒,蘆洲區,營造業,1,0
76,NA,被撞,汐止區,營造業,1,0
77,NA,被撞,林口區,其他服務業,1,0
78,NA,與有害物等之接觸,新莊區,營造業,1,0
79,NA,其他交通事故,三重區,製造業,1,0
80,NA,感電,三重區,營造業,1,0
81,NA,感電,三峽區,批發及零售業,1,0
82,NA,物體倒塌、崩塌,八里區,其他服務業,1,0
83,NA,墜落、滾落,新店區,營造業,1,0
84,NA,被夾、被捲,三峽區,製造業,1,0
85,NA,墜落、滾落,八里區,營造業,1,0
86,NA,溺斃,淡水區,營造業,1,0
87,NA,墜落、滾落,新店區,營造業,1,0
88,NA,墜落、滾落,八里區,運輸及倉儲業,1,0
89,NA,感電,三重區,營造業,1,0
90,NA,溺斃,汐止區,專業、科學及技術服務業,1,0
91,NA,物體飛落,三重區,營造業,1,0
92,NA,溺斃,金山區,農、林、漁、牧業,1,0
93,NA,感電,三峽區,製造業,1,0
94,NA,被夾、被捲,新莊區,運輸及倉儲業,1,0
95,NA,墜落、滾落,三重區,藝術、娛樂及休閒服務業,1,1
96,NA,物體倒塌、崩塌,樹林區,運輸及倉儲業,1,0
97,NA,墜落、滾落,鶯歌區,營造業,1,0
98,NA,墜落、滾落,新莊區,營造業,1,0
99,NA,墜落、滾落,三重區,營造業,1,0
100,NA,跌倒,蘆洲區,營造業,1,0
101,NA,墜落、滾落,三重區,營造業,1,1
102,NA,墜落、滾落,三重區,營造業,1,0
103,NA,墜落、滾落,林口區,營造業,1,0
104,NA,物體飛落,板橋區,營造業,1,0
105,NA,跌倒,新店區,營造業,1,0
106,NA,墜落、滾落,林口區,營造業,1,0
107,NA,被夾、被捲,新莊區,批發及零售業,1,0
108,NA,被夾、被捲,新店區,營造業,1,0
109,NA,溺斃,八里區,運輸及倉儲業,1,0
110,NA,物體飛落,新店區,營造業,1,0
111,NA,其他交通事故,鶯歌區,製造業,1,0
112,NA,墜落、滾落,樹林區,營造業,1,0
113,NA,物體破裂,樹林區,製造業,1,0
114,NA,被夾、被捲,瑞芳區,支援服務業,1,0
115,NA,物體倒塌、崩塌,林口區,營造業,1,0
116,NA,墜落、滾落,八里區,運輸及倉儲業,1,0
117,NA,與有害物等之接觸,板橋區,營造業,2,0
118,NA,墜落、滾落,樹林區,營造業,1,0
119,NA,感電,汐止區,營造業,1,0
120,NA,墜落、滾落,林口區,營造業,1,0
121,NA,感電,林口區,支援服務業,1,0
122,NA,墜落、滾落,三芝區,支援服務業,1,0
123,NA,墜落、滾落,汐止區,營造業,1,0
124,NA,跌倒,三重區,營造業,1,0
125,NA,溺斃,林口區,農、林、漁、牧業,1,0
126,NA,其他(遭虎頭蜂螫傷),瑞芳區,農、林、漁、牧業,1,0
127,NA,跌倒,汐止區,支援服務業,1,0
128,NA,墜落、滾落,樹林區,營造業,1,0
129,NA,被刺、割、擦傷,林口區,製造業,1,0
130,NA,被夾、被捲,板橋區,營造業,1,0
131,NA,其他(遭虎頭蜂螫傷),新莊區,支援服務業,1,2
132,NA,物體倒塌、崩塌,林口區,批發及零售業,1,0
133,NA,物體飛落,林口區,製造業,1,0
134,NA,墜落、滾落,三峽區,批發及零售業,1,0
135,NA,墜落、滾落,瑞芳區,營造業,1,0
136,NA,墜落、滾落,林口區,營造業,1,0
137,NA,墜落、滾落,新莊區,營造業,1,0
138,NA,墜落、滾落,新店區,營造業,1,0
139,NA,跌倒,烏來區,住宿及餐飲業,1,0
140,NA,物體飛落,林口區,製造業,1,0
141,NA,墜落、滾落,汐止區,支援服務業,1,0
142,NA,墜落、滾落,新店區,營造業,1,0
143,NA,其他交通事故,林口區,藝術、娛樂及休閒服務業,1,0
144,NA,墜落、滾落,汐止區,營造業,1,0
145,NA,被撞,樹林區,營造業,1,0
146,NA,物體飛落,鶯歌區,製造業,1,0
147,NA,溺斃,八里區,營造業,1,0
148,NA,墜落、滾落,林口區,營造業,1,0
149,NA,物體飛落,樹林區,製造業,1,0
150,NA,物體倒塌、崩塌,五股區,製造業,1,0
151,NA,感電,淡水區,製造業,1,0
152,NA,感電,八里區,營造業,1,0
153,NA,火災,板橋區,批發及零售業,1,0
154,NA,被夾、被捲,林口區,其他服務業,1,0
155,NA,墜落、滾落,新店區,營造業,1,0
156,NA,墜落、滾落,中和區,營造業,1,0
157,NA,墜落、滾落,淡水區,製造業,1,0
158,NA,墜落、滾落,板橋區,營造業,1,0
159,NA,其他交通事故,深坑區,批發及零售業,1,0
160,NA,感電,新店區,營造業,1,0
161,NA,墜落、滾落,板橋區,營造業,1,0
162,NA,衝撞,五股區,用水供應及污染整治業,1,0
163,NA,物體倒塌、崩塌,新店區,營造業,1,0
164,NA,墜落、滾落,瑞芳區,營造業,1,0
165,NA,墜落、滾落,鶯歌區,營造業,1,0
166,NA,其他交通事故,三峽區,支援服務業,1,0
167,NA,墜落、滾落,土城區,專業、科學及技術服務業,1,0
168,NA,墜落、滾落,鶯歌區,製造業,1,0
169,NA,墜落、滾落,鶯歌區,營造業,1,0
170,NA,墜落、滾落,三重區,營批發及零售業,1,0
171,NA,墜落、滾落,中和區,營造業,1,0
172,NA,被夾、被捲,蘆洲區,營造業,1,0
173,NA,墜落、滾落,三重區,批發及零售業,1,0
174,NA,墜落、滾落,淡水區,不動產業,1,0
175,NA,墜落、滾落,汐止區,批發及零售業,1,0
176,NA,被夾、被捲,新店區,營建工程業,1,0
177,NA,墜落、滾落,三重區,營建工程業,1,0
178,NA,墜落、滾落,板橋區,營建工程業,1,0
179,NA,墜落、滾落,三重區,批發及零售業,1,0
180,NA,物體倒塌、崩塌,瑞芳區,製造業,1,0
181,NA,墜落、滾落,新莊區,營建工程業,1,0
182,NA,被撞,土城區,營建工程業,1,0
183,NA,墜落、滾落,新店區,營建工程業,1,0
184,NA,墜落、滾落,林口區,營建工程業,1,0
185,NA,感電,新莊區,批發及零售業,1,0
186,NA,物體飛落,八里區,營建工程業,1,0
187,NA,墜落、滾落,汐止區,金融及保險業,1,0
188,NA,感電,深坑區,營建工程業,1,0
189,NA,感電,新莊區,營建工程業,1,0
190,NA,墜落、滾落,泰山區,支援服務業,1,0
191,NA,墜落、滾落,鶯歌區,營建工程業,1,0
192,NA,墜落、滾落,新莊區,營建工程業,1,0
193,NA,物體倒塌、崩塌,淡水區,營建工程業,1,0
194,NA,墜落、滾落,新莊區,營建工程業,1,0
195,NA,墜落、滾落,金山區,營建工程業,1,0
196,NA,墜落、滾落,五股區,不動產業,1,0
197,NA,與有害物等之接觸,林口區,批發及零售業,0,3
198,NA,墜落、滾落,土城區,營建工程業,1,0
199,NA,墜落、滾落,萬里區,製造業,1,0
200,NA,墜落、滾落,板橋區,公共行政及國防；強制性社會安全,0,3
201,NA,墜落、滾落,金山區,支援服務業,1,0
202,NA,墜落、滾落,蘆洲區,營建工程業,1,0
203,NA,墜落、滾落,石碇區,營建工程業,1,0
204,NA,墜落、滾落,雙溪區,營建工程業,1,0
205,NA,墜落、滾落,鶯歌區,製造業,1,0
206,NA,墜落、滾落,新莊區,製造業,1,0
